Wood	Cray	Iron	Crop	UC	Sp	Sc	T	B	Time		Name
120		100		150		30		2	6	50	3	0	0:13:20		Legionnaire
100		130		160		70		2	5	20	2	0	0:14:40		Praetorian
150		160		210		80		2	7	50	1	0	0:16:00		Imperian
140		160		20		40		4	16	0	4	1	0:11:20		Equites Legati
550		440		320		100		6	14	100	1	1	0:22:00		Equites Imperatoris
550		640		800		180		8	10	70	1	1	0:29:20		Equites Caesaris
900		360		500		70		6	4	0	5	2	0:38:20		Battering Ram
950		1350	600		90		12	3	0	6	2	1:15:00		Fire Catapult
30750	27200	45000	37500	10	4	0	7	3	12:35:50	Senator
4600	4200	5800	4400	2	5	0	8	3	3:44:10		Settler

95		75		40		40		2	7	60	1	0	0:06:00		Clubswinger
145		70		85		40		2	7	40	2	0	0:09:20		Spearman
130		120		170		70		2	6	50	1	0	0:10:00		Axeman
160		100		50		50		2	9	0	4	0	0:09:20		Scout
370		270		290		75		4	10	110	2	1	0:20:00		Paladin
450		515		480		80		6	9	80	1	1	0:24:40		Teutonic Knight
1000	300		350		70		6	4	0	5	2	0:35:00		Ram
900		1200	600		60		12	3	0	6	2	1:15:00		Catapult
35500	26600	25000	27200	8	4	0	7	3	9:47:30		Chief
5800	4400	4600	5200	2	5	0	8	3	4:18:20		Settler

100		130		55		30		2	7	35	2	0	0:08:40		Phalanx
140		150		185		60		2	6	45	1	0	0:12:00		Swordsman
170		150		20		40		4	17	0	4	1	0:11:20		Pathfinder
350		450		230		60		4	19	75	1	1	0:20:40		Theutates Thunder
360		330		280		120		4	16	35	2	1	0:21:20		Druidrider
500		620		675		170		6	13	65	3	1	0:26:00		Haeduan
950		555		330		75		6	4	0	5	2	0:41:40		Ram
960		1450	630		90		12	3	0	6	2	1:15:00		Trebuchet
30750	45400	31000	37500	8	5	0	7	3	12:35:50	Chieftain
4400	5600	4200	3900	2	5	0	8	3	3:09:10		Settler
